product_name,shipping,price,avg_rating,num_review,num_sold,attrs,url,country,brand,stock,origin,first_category,second_category,third_category,description,shop_like_tier,shop_num_review,shop_reply_percentage,shop_reply_time,shop_creation_time,shop_num_follower
a o giu nhie t ao legging nam dai tay chuyen tap gym chay bo da bong yinghu,"",125000,4.9,773,3700,size size m 45 kg 55 kg phan loai den full,https://shopee.vn/Áo-Giữ-Nhiệt-Áo-Legging-Nam-Dài-Tay-Chuyên-Tập-Gym-Chạy-Bộ-Đá-Bóng-YINGHU-i.215110322.3653712089?sp_atk=f984ac68-f8f3-47f2-8d65-0522e8a3530e&xptdk=f984ac68-f8f3-47f2-8d65-0522e8a3530e,"",yinghu,2091,ha noi,the thao du lich,the thao du lich / thoi trang the thao da ngoai,the thao du lich / thoi trang the thao da ngoai / ao the thao,gepo official store xin cam ket khi mua hang tai shop ban se nhan duoc san pham tot nhat trong phan khuc gia san pham duoc kiem tra ki cang can than va tu van nhiet tinh truoc khi goi hang giao cho quy khach cam ket san pham giong hinh anh den 99 999 khac biet duy nhat la mau sac do anh sang va do phan giai cac man hinh hien thi nhung khong dang ke ho tro doi hang nhanh chong thuan tien hoan tien neu san pham khong giong mo ta 1 thong tin mo ta ao the thao nam dai tay chuyen tap gym chay bo yinghu ao the thao giu nhiet nam hang cao cap duoc lam chat lieu thun polyester 4 chieu chieu mem min thoang khi do dan hoi cao mau sac ao the thao giu nhiet nam hang cao cap den xam chat vai khong nhan khong xu khong bai khong phai mau giu mat toi da cho co the kho thoang nhanh chong thiet ke form om thoai mai giu am rat tot mat vai duoc gia cong mem min giat may thoai mai khong bai xu khong dao duong chi may deu dan chac chan kieu dang dep phu hop voi tap gym van dong the thao 2 cach chon size ao size m tu 45 kg 55 kg chieu dai ao 63cm size l tu 55 kg 65 kg chieu dai ao 65cm size xl tu 65 kg 75 kg chieu dai ao 67cm size xxl tu 75 kg 85 kg chieu dai ao 69cm 3 chinh sach giao hang va doi tra hang giong nhu hinh 100 san pham tai shop duoc kiem tra ki cang can than va tu van nhiet tinh truoc khi goi hang giao cho khach hang hang co san giao hang ngay khi nhan duoc don hoan tien neu san pham khong giong voi mo ta chap nhan doi hang khi size khong vua giao hang tren toan quoc nhan hang tra tien ho tro doi tra theo quy dinh giao hang toan quoc nhan hang tai nha nhan hang moi thanh toan,0,74400,0.99,trong vai gio,36,87300
ao ba lo redikick tanktop nam nu the thao ao sat nach co gian thoang mat bong ro bong da tap gym tennis bong chuyen,"",149000,4.9,275,1200,size l mau trang,https://shopee.vn/Áo-ba-lỗ-Redikick-Tanktop-nam-nữ-thể-thao-áo-sát-nách-co-giãn-thoáng-mát-Bóng-rổ-Bóng-đá-tập-Gym-Tennis-Bóng-chuyền-i.284746932.15687876435?sp_atk=3407fe04-8ee4-444c-97ff-714251f0f585&xptdk=3407fe04-8ee4-444c-97ff-714251f0f585,"",redikick,480,ha noi,the thao du lich,the thao du lich / thoi trang the thao da ngoai,the thao du lich / thoi trang the thao da ngoai / ao the thao,thong tin san pham chat lieu 95 polyester 5 spandex cau truc luoi dan cheo tham mo hoi nhanh chong duoc thiet ke mang ca khi choi the thao ma van nang dong cho hoat dong thuong ngay cong nghe quick dry cho phep ao nhanh kho mat lanh va thoai mai trong suot tran dau duong may chac chan cho cac hoat dong cuong do cao nhu tap gym bong ro chay bo thiet ke don gian de dang phoi voi moi trang phuc tre trung nhung khong kem phan manh me san xuat tai viet nam 5 mau thoi trang den trang xanh duong hong ghi xanh xuat xu viet nam cam ket san pham giong hinh anh den 99 999 khac biet duy nhat la mau sac do anh sang va do phan giai cac man hinh hien thi khac nhau nhung khong dang ke thoi gian bao hanh khong bao hanh huong dan cham soc san pham giat may nhiet do thuong tranh tay trang co the giat may ui say kho o che do thuong cam ket 100 hoan tien theo chinh sach cua shopee do vay khach hang co the an tam mua hang moi thac mac xin hay nhan tin cho redikick de duoc ho tro nhanh nhat co the ho tro doi tra trong vong 07 ngay ke tu khi nhan hang aobalo ao3lo aolotbalo aothun3lo aothunbalo aobalotrang balo aobalo aothunbalo aosatnach ao aolotnam aobalonam aobalo ao3lonam aotapgym aobongro,0,13400,0.91,trong vai gio,31,28800
ao body tay dai tron ao lot body giu nhiet chong nang co gian thoang khi tham hut mo hoi,"",85000,4.9,250,1400,chon mau den chon size s 50 60kg,https://shopee.vn/Áo-Body-Tay-Dài-Trơn-Áo-Lót-Body-Giữ-Nhiệt-Chống-Nắng-Co-Giãn-Thoáng-Khí-Thấm-Hút-Mồ-Hôi-i.457373982.10476188545?sp_atk=4173c6da-1084-4945-8d1c-58276a1a6dd5&xptdk=4173c6da-1084-4945-8d1c-58276a1a6dd5,"","",4064,quan tan binh tp ho chi minh,the thao du lich,the thao du lich / thoi trang the thao da ngoai,the thao du lich / thoi trang the thao da ngoai / ao the thao,ao body tay dai tron thong tin san pham thuong hieu fitme xuat xu thuong hieu viet nam chat lieu 92 polyester 8 elastane size s m l xl xxl s can nang 50 60kg chieu cao 1 55 1 70m m can nang 60 65kg chieu cao 1 60 1 75m l can nang 65 75kg chieu cao 1 65 1 80m xl can nang 75 85kg chieu cao 1 70 1 85m xxl can nang 85 95kg chieu cao 1 75 1 90m su dung ao the thao body alpha x cao cap chuyen nghiep danh cho nhung ai co nhu cau luyen tap voi cuong do cao phu hop cho cac mon the thao tap gym bong ro bong da bong chuyen giu nhiet ao chat co dan cao om co the ton dang nguoi duong may nhe nhang khong noi com gay kho chiu chi tiet may ty my ho tro tham hut mo hoi va bay hoi nhanh khong de lai cam giac kho chiu ao duoc thiet ke co tron form body slim fit om sat nguoi tay dai giup nguoi mac co the van dong o ngoai troi nang voi chat lieu polyester giup ao co kha nang chong tia uv khang khuan mau sac duoc in an dam bao chac chan khong ra mau khi giat cac duong chi may ti mi va sac xao giup cho mau ao co tuoi tho su dung lau hon cac dong ao khac huong dan bao quan giat mat trai khong dung chat tay phoi mat trai de khong bi bac mau giat voi nuoc lanh shop xin cam ket giao hang dung hinh anh shop dang giong hinh 100 ship cod tan nha khach hang nhan hang thanh toan tien doi moi hoac hoan tra ha ng trong vo ng 7 nga y ne u khach hang khong ung y sa n pha m aotapgym aobo aobody alphax aothethao gym aotaydai,2,15200,0.89,trong vai gio,20,16300
ao bong da clb manchester united ao da banh mu moi nhat 2022 chuan mau thi dau vai polyester thai gai luoi,mien phi van chuyen cho don hang tren 99 000,165000,4.9,537,1700,size s mau do quan den,https://shopee.vn/Áo-Bóng-Đá-CLB-Manchester-United-Áo-Đá-Banh-Mu-Mới-Nhất-2022-Chuẩn-Mẫu-Thi-Đấu-Vải-Polyester-Thái-Gai-Lưới-i.302865535.12720892931?sp_atk=8c4f00c4-2a12-4ee1-8d4b-2694cb624bb5&xptdk=8c4f00c4-2a12-4ee1-8d4b-2694cb624bb5,"","",879781,ha noi,the thao du lich,the thao du lich / thoi trang the thao da ngoai,the thao du lich / thoi trang the thao da ngoai / ao clb,ao bong da the thao vai polyester gai thai cao cap mau sac mau sac mau ma giong hinh logo theu in cuc tinh te va chac chan kich co s m l xl xxl chat lieu vai polyester quy cach nguyen bo bang size bo quan ao bong da size s 50 60 kg chieu cao lt 1 65m size m 60 70 kg chieu cao 1 65m lt 1 70m size l 70 80 kg chieu cao 1 70m lt 1 80m size xl 80 90 kg chieu cao 1 75m lt 1 85m size xxl 90 100 kg chieu cao 1 80m lt 1 90m dac diem doi bat logo det sac sao ben dep khong bong troc vai poly 100 polyester dat det doc quyen mem va min mot uu diem dac biet cua chat lieu poly do la kha nang tham hut tot choi the thao mo hoi se tiet ra rat nhieu gay uot va kho chiu voi chat lieu nay toan bo mo hoi se duoc tham hut mang den cho ban su thoai mai va tu tin hon mau ao quan cuc ben in an co do tham my cao cam ket tra hang mien phi neu loi cua shop truong hop loi tu phia khach hang thi khach hang chiu phi ship bo ao bong da khong bai xu chat luong in theu sac net anh chup bo quan ao da bong chup that tu shop,2,3800,1.0,trong vai gio,29,10200
ao bong da clb manchester united co logo in ten so,"",115000,4.8,72,203,mau ao co be size m in ten so,https://shopee.vn/Áo-bóng-đá-CLB-Manchester-United-có-logo-in-tên-số-i.40276379.18045654839?sp_atk=1e37a598-0315-4b35-8dbe-d4d46cd85481&xptdk=1e37a598-0315-4b35-8dbe-d4d46cd85481,"","",1336,tien giang,the thao du lich,the thao du lich / thoi trang the thao da ngoai,the thao du lich / thoi trang the thao da ngoai / bo do the thao,bo do da banh hang thun lanh cao cap mac thoang mat tham hut mo hoi tot duong may tinh xao dep chac chan logo ben dep khong bong troc hoa van in phun ky thuat so sac net khong bong troc bo do co 4 size s m l xl tuy mau se co size xxl size s 1m50 gt 1m60 40kg gt 48kg size m 1m55 gt 1m65 49 gt 58 kg size l 1m60 gt 1m70 59 gt 68kg kg size xl 1m70 gt 1m80 68kg gt 78kg shop nhan in do da banh in ten in so in logo 1 ao van in van ship bam theo doi shop de cap nhat nhung mau moi nhat nhe ao bong da ao da banh quan ao bong da quan ao da banh do da banh do bong da do da bong ao da bong mu real barca chelsea viet nam man city arsenal do the thao ao viet nam do ao da bong ao khong logo ao da banh da bong ao da bong ao bong da bong ao ao vietnam ao bong da dep cr7 m10 ronaldo messi,1,1100,0.82,trong vai gio,60,1000
ao bra tap gym yoga ba khuy cai sau chat dep co size ms 889,"",38000,4.9,1900,8100,size size l mau xanh than,https://shopee.vn/Áo-bra-tập-Gym-Yoga-ba-khuy-cài-sau-chất-đẹp-(CÓ-SIZE)-ms-889-i.80366457.12507474996?sp_atk=6a774f3d-b378-4dab-a0cb-f6ddd0289efb&xptdk=6a774f3d-b378-4dab-a0cb-f6ddd0289efb,"","",947,ha noi,the thao du lich,the thao du lich / thoi trang the thao da ngoai,the thao du lich / thoi trang the thao da ngoai / ao the thao,cha t lie u va i thun co dan bon chieu sieu mem mau nay co mut dem san ben trong ao co the thay the duoc di tap tu tin lam vi om khit nguoi luon size m duoi 50 kg size l duoi 56kg xl duoi 65kg thiet ke moc cai tien loi chi em tah ho nhay tap kie u da ng form chua n phu ho p vo i vo c da ng phu nu vie t nam sa n xua t hang quang chau cao cap duoc chon mau theo y thich ve cha t lu o ng sa n pha m yi hinh hang dep chuan xin bra bratap ao lot bra tap 889 bratap bra vuphong00,1,70500,0.72,trong vai gio,60,22400
ao cau long li ning chuyen nghiep mua giai 2023 dung trong tap luyen va thi dau cau long a249,"",85000,5.0,215,702,size s 40kg 49kg,https://shopee.vn/Áo-Cầu-Lông-Li-Ning-Chuyên-Nghiệp-Mùa-Giải-2023-Dùng-Trong-Tập-Luyện-Và-Thi-Đấu-Cầu-Lông-A249-i.166371606.16174898246?sp_atk=efb2f42a-7644-4928-8a82-2563c64b870a&xptdk=efb2f42a-7644-4928-8a82-2563c64b870a,"","",163,bac ninh,the thao du lich,the thao du lich / thoi trang the thao da ngoai,the thao du lich / thoi trang the thao da ngoai / ao the thao,ao cau long li ning chuyen nghiep mua giai 2023 dung trong tap luyen va thi dau cau long mau thiet ke moi nhat cua lining thuong hieu the thao hang dau the gioi chat lieu vai me kim the thao chuyen dung su dung trong thi dau va tap luyen cau long giup tham hut mo hoi cuc tot tao cam giac thoang mat de chiu cho nguoi su dung de phoi do nam tinh manh me nang dong khach hang chon size theo can nang s 40kg 49kg m 50kg 59kg l 60kg 68kg xl 69kg 77kg xxl 78kg 86kg 3xl 87kg 99kg neu khach hang mua ve mac khong vua thi co the lien he shop de doi size phu hop ship toan quoc thanh toan khi nhan hang mot so luu y khi dat hang cach mua nhieu san pham cung 1 don b1 them tung san pham muon mua vao gio hang b2 an vao gio hang tich chon cac san pham muon mua b3 an mua hang cac ma giam tien ship giam toi da 15k tien ship cho don hang tu 50k tro len giam toi da 25k tien ship cho don hang tu 200k tro len giam toi da 55k tien ship cho don hang tu 300k tro len cach ap ma giam tien ship b1 sau khi an mua hang thi chon shopee voucher b2 chon ma freeship extra b3 dat hang neu con van de gi thac mac quy khach vui long an chat ngay de duoc shop tu van hai dang badminton nha phan phoi si le quan ao cau long lon nhat viet nam aocaulong quancaulong caulong badminton ao choicaulong danhcaulong aothun aococtay aothethao aonam docaulong votcaulong yonex trangphuc thethao hoatdong quanao aococ,2,32700,0.99,trong vai gio,48,20100
ao cau long quan cau long yonex chuyen nghiep moi nhat su dung tap luyen va thi dau cau long,"",150000,4.8,30,117,size 3xl lua chon bo quan ao,https://shopee.vn/Áo-cầu-lông-quần-cầu-lông-Yonex-chuyên-nghiệp-mới-nhất-sử-dụng-tập-luyện-và-thi-đấu-cầu-lông-i.840800604.15791288458?sp_atk=e736665d-f4c1-40ef-856d-480e44224d77&xptdk=e736665d-f4c1-40ef-856d-480e44224d77,"",yonex,1182,bac ninh,the thao du lich,the thao du lich / thoi trang the thao da ngoai,the thao du lich / thoi trang the thao da ngoai / ao the thao,1 thong tin san pham thiet ke yonex thuong hieu cau long so 1 the gioi de tu nhat ban chat lieu cao cap giup tham hut mo hoi tot co gian tot tao cam giac thoang mat de chiu khong bi mo hoi dong lai tren ao mau ao cau long duoc thiet ke ti mi sang trong ket hop mau sac ua nhin ao cau long yonex nay dang duoc doi tuyen quoc te su dung lam trang phuc tap luyen va thi dau 2 cach chon size phu hop size s 40kg 49kg size m 50kg 58kg size l 59kg 67kg size xl 68kg 76kg size xxl 77kg 87kg size 3xl 88kg 99kg 3 cam ket cua shop san pham y chang hinh anh cung nhu mo ta thoi gian dong goi va gui hang sieu toc,1,331,0.92,trong vai gio,6,298
ao cau long yonex chuyen nghiep 2023 su dung trong tap luyen va thi dau cau long a218,"",0,5.0,529,2000,size m 50kg 59kg,https://shopee.vn/Áo-Cầu-Lông-Yonex-Chuyên-Nghiệp-2023-Sử-Dụng-Trong-Tập-Luyện-Và-Thi-Đấu-Cầu-Lông-A218-i.166371606.17819035472?sp_atk=6b5797c5-d659-43b4-b76f-56fda257b277&xptdk=6b5797c5-d659-43b4-b76f-56fda257b277,"","",697,bac ninh,the thao du lich,the thao du lich / thoi trang the thao da ngoai,the thao du lich / thoi trang the thao da ngoai / ao the thao,ao cau long yonex chuyen nghiep mua giai 2023 dung trong tap luyen va thi dau cau long mau thiet ke moi nhat cua yonex thuong hieu cau long so 1 the gioi den tu nhat ban chat lieu vai me kim the thao chuyen dung su dung trong thi dau va tap luyen cau long giup tham hut mo hoi cuc tot tao cam giac thoang mat de chiu cho nguoi su dung khach hang chon size theo can nang s 40kg 49kg m 50kg 59kg l 60kg 68kg xl 69kg 77kg xxl 78kg 86kg 3xl 87kg 99kg neu khach hang mua ve mac khong vua thi co the lien he shop de doi size phu hop ship toan quoc thanh toan khi nhan hang mot so luu y khi dat hang cach mua nhieu san pham cung 1 don b1 them tung san pham muon mua vao gio hang b2 an vao gio hang tich chon cac san pham muon mua b3 an mua hang cac ma giam tien ship giam toi da 15k tien ship cho don hang tu 50k tro len giam toi da 25k tien ship cho don hang tu 200k tro len giam toi da 55k tien ship cho don hang tu 300k tro len cach ap ma giam tien ship b1 sau khi an mua hang thi chon shopee voucher b2 chon ma freeship extra b3 dat hang neu con van de gi thac mac quy khach vui long an chat ngay de duoc shop tu van hai dang badminton nha phan phoi si le quan ao cau long lon nhat viet nam aocaulong quancaulong caulong badminton ao choicaulong danhcaulong aothun aococtay aothethao aonam docaulong votcaulong yonex trangphuc thethao hoatdong quanao aococ,2,32700,0.99,trong vai gio,48,20100
ao choi bong ro hoa tiet so 23 phong cach michael jordan hop thoi trang,"",258750,4.9,49,153,size m color mn white 33,https://shopee.vn/Áo-chơi-bóng-rổ-họa-tiết-số-23-phong-cách-Michael-Jordan-hợp-thời-trang-i.262508822.8454090155?sp_atk=415a24b4-1461-4aee-bacd-bb7517531331&xptdk=415a24b4-1461-4aee-bacd-bb7517531331,"","",49788,nuoc ngoai,the thao du lich,the thao du lich / thoi trang the thao da ngoai,the thao du lich / thoi trang the thao da ngoai / ao clb,thoi gian giao hang du kien cho san pham nay la tu 7 9 ngay ao jersey don theu hoa tiet 100 san pham moi va chat luong cao voi logo thuong hieu logo nba dac diem nhanh kho thoang khi thoai mai dang rong hop thoi trang hip hop thoi trang chat lieu cotton danh cho nam nu kich co s m l xl 2xl xin luu y co chau au co lon goi hang bao gom 1 x ao jersey theu chat luong cao mot ao xin luu y 1 kich co chau au rat lon 2 neu ban khong chac chan ve size vui long lien he voi chung toi truoc hoac de lai thong tin chieu cao va can nang cua ban jerseybasketball chicagobulls jerseyshirt irving kobe nba lakers retro jordan embroidered james sw basketballshirt cityedition dreamteam mnjersey bryant swingman,1,1300,0.52,trong vai gio,32,2700
